Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
115,"cerebrospinal fluid","The serumlike fluid that circulates through the ventricles of the brain, the cavity of the spinal cord, and the subarachnoid space, functioning in shock absorption (from Dictionary.com) ","CSF (cerebrospinal fluid)
cerebrospinal fluid
LIQUIDE C?PHALO-RACHIDIEN
CSF","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
116,"joint fluid","A source of a sputum sample used in a TB test","articular fluid
joint fluid
synovial fluid
LIQUIDE ARTICULAIRE","","","Anatomy","N/A","eHealth System Developer","eHealth System Developer"
117,"urine","Waste material that is secreted by the kidney, is rich in end products (as urea, uric acid, and creatinine) of protein metabolism together with salts and pigments, and forms a clear amber and usually slightly acid fluid (from Dictionary.com) ","urine","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
118,"specimen from stomach","","gastric fluid/contents of stomach
ASPIRATION GASTRIQUE
specimen from stomach","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
119,"feces","Waste matter discharged from the intestines through the anus; excrement (from Dictionary.com)","stool
MATI?RES F?CALES
feces","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
120,"bronchial aspirate","A sample collection source","bronchial aspirate
ASPIRATION BRONCHIQUE","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
121,"pulmonary tissue","A sputum sample source used in a TB test ","pulmonary tissue
lung tissue
TISSU PULMONAIRE","","","Anatomy","N/A","eHealth System Developer","eHealth System Developer"
122,"PLEURAL EFFUSION","","PLEURAL EFFUSION
derrame pleural
?PANCHEMENT PLEURAL","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
123,"specimen source","Where did you get the specimen from?","specimen source
SOURCE D'?CHANTILLON","cerebrospinal fluid
Cerebral Abscess
joint fluid
urine
specimen from stomach
feces
bronchial aspirate
pulmonary tissue
SPUTUM
PLEURAL EFFUSION","","Specimen","Coded","eHealth System Developer","eHealth System Developer"
124,"tuberculosis test date ordered","","tuberculosis test date ordered","","","Question","Date","eHealth System Developer","eHealth System Developer"
125,"tuberculosis test date received","","DATE DE R?CEPTION DU R?SULTAT D'EXAMEN POUR LA TUBERCULOSE
tuberculosis test date received","","","Misc","Datetime","eHealth System Developer","eHealth System Developer"
126,"acid fast fluorochrome stain method ","A smear microscopy test type","acid fast fluorochrome stain method 
Fluorochrome (250x)","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
127,"tuberculosis smear microscopy method","","tuberculosis smear microscopy method","acid fast fluorochrome stain method","","Question","Coded","eHealth System Developer","eHealth System Developer"
128,"tuberculosis test start date","","tuberculosis test start date","","","Misc","Datetime","eHealth System Developer","eHealth System Developer"
129,"tuberculosis test result date","The date a TB test is completed","tuberculosis test result date
TB result date","","","Misc","Datetime","eHealth System Developer","eHealth System Developer"
130,"organism count using microscope","The number of organisms identified using microscope","organism count using microscope
bacilli count using microscope","","","Misc","Numeric","eHealth System Developer","eHealth System Developer"
131,"tuberculosis smear microscopy construct","Detailed report on microscopic examination of the smear for tuberculosis.","tuberculosis smear microscopy construct
AFB smear microscopy construct","","tuberculosis smear microscopy method
Sputum AFB
specimen source
tuberculosis test result date
tuberculosis test date received
tuberculosis test date ordered
tuberculosis test start date
organism count using microscope","Misc","N/A","","eHealth System Developer"
132,"type of organism, non-coded, tuberculosis","","type of organism, non-coded, tuberculosis","","","Finding","Text","eHealth System Developer","eHealth System Developer"
133,"Mycobacterium Avium-Intracellulare Complex","","Mycobacterium Avium-Intracellulare Complex
infecci?n por Mycobacterium del grupo avium - intracellulare","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
134,"Mycobacterium abscessus","","M. abscessus
Mycobacterium abscessus","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
135,"Mycobacterium bovis","Type of mycobacteria which can cause tuberculosis","bovine tubercle bacillus 
M. bovis
Mycobacterium bovis","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
136,"Mycobacterium canetti","Type of mycobacterium which can cause tuberculosis.","Mycobacterium canetti
M. canetti","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
137,"Mycobacterium africanum","Type of mycobacterium which can cause tuberculosis","Mycobacterium tuberculosis, African variant
Mycobacterium africanum
M. africanum","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
138,"Mycobacterium microti","Type of mycobacterium that can cause tuberculosis.","M. microti
vole bacillus
Mycobacterium microti","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
139,"Mycobacterium tuberculosis","Type of mycobacterium which can cause tuberculosis.","Mycobacterium tuberculosis
M. tuberculosis","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
140,"Mycobacterium tuberculosis complex","Group of organisms which cause tuberculosis","Mycobacterium tuberculosis complex
M. tuberculosis complex","","Mycobacterium africanum
Mycobacterium bovis
Mycobacterium canetti
Mycobacterium microti
Mycobacterium tuberculosis","ConvSet","N/A","eHealth System Developer","eHealth System Developer"
141,"Mycobacterium Scrofulaceum","A non-tuberculous mycobacterium causing cervical lymphadenitis in children. It very rarely causes pulmonary disease, and is believed to be non-pathogenic in animals.","infecci?n por Mycobacterium scrofulaceum
Mycobacterium Scrofulaceum","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
142,"type of organism, tuberculosis","","type of organism, tuberculosis
TYPE D'ORGANISME, TUBERCULOSE","type of organism, non-coded, tuberculosis
Mycobacterium Avium-Intracellulare Complex
Mycobacterium abscessus
Mycobacterium tuberculosis complex
Mycobacterium Scrofulaceum","","Finding","Coded","eHealth System Developer","eHealth System Developer"
143,"specimen ID","","specimen ID","","","Misc","Numeric","","eHealth System Developer"
144,"PURULENT","Descriptive quality.","PURULENT","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
145,"mucopurulent","","mucopurulent","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
146,"saliva","","saliva","","","Specimen","N/A","eHealth System Developer","eHealth System Developer"
147,"bloody","Descriptive quality.","bloody
blood-stained","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
148,"Red Color","","color rojo
Red Color","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
149,"appearance of specimen","","appearance of specimen","PURULENT
mucopurulent
Red Color
bloody
scanty
saliva","","Misc","Coded","","eHealth System Developer"
150,"tuberculosis specimen comment","","tuberculosis specimen comment","","","Finding","Text","","eHealth System Developer"
151,"waiting for test results","","waiting for test results","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
152,"contaminated drug sensitivity testing","","DST contaminated
contaminated drug sensitivity testing","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
153,"Previously treated with second line drugs","Type of MDR-TB.","Previously treated with second line drugs
TRAIT? ANT?RIEUREMENT AVEC DES M?DICAMENTS ANTI-TUBERCULEUX DE SECONDE INTENTION","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
154,"newly diagnosed TB without prior treatment","Classification of MDR-TB without prior treatment or with less than one month of anti-tubercular drugs","newly diagnosed TB without prior treatment","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
155,"previously treated with first line drugs only","Type of MDR-TB.","previously treated with first line drugs only
TRAIT? ANT?RIEUREMENT AVEC PREMI?RE INTENTION
TRAIT? ANT?RIEUREMENT AVEC DES M?DICAMENTS ANTI-TUBERCULEUX DE PREMI?RE INTENTION","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
156,"Category IV tuberculosis classification","Classification of MDR-TB according to previous drug use. A WHO-defined set of categorizations of new MDR-TB patients.","Category IV tuberculosis classification
Cat IV TB Class
Registration Group - Previous Drug Use
CATEGORY 4 TUBERCULOSIS CLASSIFICATION ACCORDING TO PREVIOUS DRUG USE
Category 4 MDR-TB classification
CLASSIFICATION DE LA TUBERCULOSE CAT?GORIE 4 SELON USAGE ANT?RIEUR DE M?DICAMENTS","previously treated with first line drugs only
newly diagnosed TB without prior treatment
Previously treated with second line drugs","","Misc","Coded","","eHealth System Developer"
157,"bacillus","rod shaped morphology of bacteria.","bacillus","","","Misc","N/A","","eHealth System Developer"
158,"results, tuberculosis culture","","results, tuberculosis culture
R?SULTATS DE LA CULTURE POUR LA TUBERCULOSE","NEGATIVE
TWO PLUS
THREE PLUS
contaminated specimen
POSITIVE
ONE PLUS
scanty","","Test","Coded","eHealth System Developer","eHealth System Developer"
159,"number of days for mycobacterium culture to turn positive ","","number of days for mycobacterium culture to turn positive","","","Question","Numeric","eHealth System Developer","eHealth System Developer"
160,"tuberculosis culture construct","Contains concepts related to tuberculosis culture.","tuberculosis culture construct
MOD?LE DE LA CULTURE POUR LA TUBERCULOSE
AFB culture construct","results, tuberculosis culture
type of organism, non-coded, tuberculosis
type of organism, tuberculosis
tuberculosis test start date
tuberculosis test date received
Mycobacterium culture method
tuberculosis test result date","results, tuberculosis culture
specimen source
colonies
tuberculosis test start date
tuberculosis test date received
tuberculosis test result date
Mycobacterium culture method
type of organism, tuberculosis
type of organism, non-coded, tuberculosis
tuberculosis test date ordered
number of days for mycobacterium culture to turn positive","LabSet","N/A","","eHealth System Developer"
161,"Tuberculosis drug sensitivity testing","Laboratory test on drug sensitivity testing for anti-tuberculosis drugs.","Tuberculosis drug sensitivity testing","","","Procedure","Text","eHealth System Developer","eHealth System Developer"
162,"Direct method for drug sensitivity test","Was the direct method used for drug sensitivity testing? True=Yes False=No","Direct method for drug sensitivity test","","","Question","Boolean","eHealth System Developer","eHealth System Developer"
163,"concentration","Used to describe a concentration in a DST test. Maps to datatype double. ","concentration","","","Misc","Numeric","eHealth System Developer","eHealth System Developer"
164,"tuberculosis drug sensitivity test results","","TB DST Result
tuberculosis drug sensitivity test results","resistant to anti-tuberculosis drugs
waiting for test results
concentration
colonies
contaminated drug sensitivity testing
intermediate resistance to anti-tubercular drugs
susceptible to anti-tuberculosis drugs","","Test","Coded","eHealth System Developer","eHealth System Developer"
165,"tuberculosis drug sensitivity testing construct","Includes concepts related to tuberculosis drug sensitivity testing.","tuberculosis drug sensitivity testing construct","drug sensitivity test methods, tuberculosis
Tuberculosis drug sensitivity testing","specimen source
tuberculosis test date received
tuberculosis test start date
drug sensitivity test methods, tuberculosis
tuberculosis drug sensitivity test results
type of organism, tuberculosis
type of organism, non-coded, tuberculosis
colonies in control
tuberculosis test result date
tuberculosis test date ordered
Direct method for drug sensitivity test","Misc","N/A","","eHealth System Developer"
166,"TUBERCULOSIS QUINOLONES","","TUBERCULOSIS QUINOLONES","","OFLOXACIN
MOXIFLOXACIN
LEVOFLOXACIN
CIPROFLOXACIN","ConvSet","N/A","","eHealth System Developer"
167,"DEFAULTED","","DEFAULTED","","","State","N/A","eHealth System Developer","eHealth System Developer"
168,"Relapse","Status of disease, particularly tuberculosis","Relapse","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
169,"Failure of category I treatment","Patient who has returned after the first treatment has failed (Definition from World Health Organization Guidelines for the programmatic management of drug-resistant TB)","Failure of category I treatment
After Cat-1 Failure","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
170,"Failure of category II treatment","Patient who has returned after the re-treatment has failed (Definition from World Health Organization Guidelines for the programmatic management of drug-resistant TB)","After Cat-2 Failure
Failure of category II treatment","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
171,"Category IV tuberculosis classification result of previous treatment","Concept containing WHO-defined categories for new MDR-TB patients","Registration Group - Previous Treatment
Category IV tuberculosis classification result of previous treatment
CATEGORY 4 TUBERCULOSIS CLASSIFICATION ACCORDING TO RESULT OF PREVIOUS TREATMENT","DEFAULTED
Relapse
TRANSFERRED
OTHER NON-CODED
Failure of category I treatment
Failure of category II treatment
newly diagnosed TB without prior treatment","","Misc","Coded","","eHealth System Developer"
172,"Coinfected with HIV and TB and on antiretrovirals","A simple boolean used to track coinfection among mdr-tb patients. Used by the mdr-tb module.","Coinfected with HIV and TB and on antiretrovirals
Co-infected with human immunodeficiency virus and tuberculosis and on antiretrovirals","","","Question","Boolean","","eHealth System Developer"
173,"Other Mycobacteria non-coded","","Other Mycobacteria non-coded","","","Misc","Text","","eHealth System Developer"
174,"MULTI-DRUG RESISTANT TUBERCULOSIS CULTURE STATUS","","MULTI-DRUG RESISTANT TUBERCULOSIS CULTURE STATUS
TB culture status
?TAT DE LA CULTURE DE LA TUBERCULOSE MULTI-R?SISTANTES
TB cx status","","","Workflow","N/A","","eHealth System Developer"
175,"tuberculosis drugs","Convenience set of TB drugs","tuberculosis drugs
TB drugs","","INH/B6
RIFAMPICIN
ETHAMBUTOL
PYRAZINAMIDE 
STREPTOMYCIN INJECTION
CAPREOMYCIN
KANAMYCIN
AMIKACIN
CIPROFLOXACIN
OFLOXACIN
LEVOFLOXACIN
MOXIFLOXACIN
ETHIONAMIDE
CYCLOSERINE
P-AMINOSALICYLIC ACID
PROTHIONAMIDE
THIOACETAZONE
AMOXICILLIN AND CLAVULANIC ACID
CLARITHROMYCIN
RIFABUTIN
CLOFAZIMINE
TERIZIDONE
Viomycin
PYRIDOXINE
GATIFLOXACIN","ConvSet","N/A","","eHealth System Developer"
176,"Patient ambulatory","Status of patient who is well enough to walk.","Patient ambulatory","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
177,"HOSPITALIZATION WORKFLOW","","HOSPITALIZATION WORKFLOW","","Patient ambulatory
PATIENT CURRENTLY INPATIENT AT FACILITY","Workflow","N/A","","eHealth System Developer"
178,"Patient Hospitalized","Yes/No status of patient currently hospitalized","Patient Hospitalized","UNKNOWN
NO
YES","","Question","Coded","","eHealth System Developer"
179,"Lab test report, scanned","Needs to be converted to complex data type","Lab test report, scanned","","","Misc","N/A","","eHealth System Developer"
180,"JOINT PAIN","Unspecified problems with pain and motion of the joints and/or muscles.","DOULEUR ARTICULAIRE
RHEUMATISM
JOINT PAIN
Arthralgia","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
181,"RASH","DEF: Lesion of the skin. DESC: The history of the particular skin lesions is also important, including time and site of initial appearance, spread, change in appearance, and triggering factors. Visual inspection is the central evaluation tool; many skin diseases are diagnosed by the characteristic appearance or morphology of the lesions. REF: Merck Manual","Skin rash
RASH","YES
4 Days
NO
3 Days
2 days
UNKNOWN
1 day
2 Weeks
1 week
6 Days
5 Days
3 Months
2 Months
1 Month
3 Weeks
6 Months","","Symptom/Finding","Coded","eHealth System Developer","eHealth System Developer"
182,"sub-district hospital","","sub-district hospital","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
183,"district hospital","Type of health care facility designed to be the district hospital.","district hospital","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
